日期	場次	班次	長度	分數範圍	場地	賽道	名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率	熱門	投注	皇牌	配備	地點	度地儀	P賠率	P賠率2	P賠率3	Queue賠率	PQ賠率	PQ賠率2	PQ賠率3
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	1	4	勝利寶石(P310)	利敬國	丁冠豪	130	1126	2	-	8 7 1	0.56.69	4.6	-	-	1	PC-/B2/TT	沙田	2.72	15.5			94.0	35.0	50.0	
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	2	3	超能量(B294)	潘頓	高伯新	131	1130	1	3/4	3 3 2	0.56.80	4.1	2nd Hot	-	1	B/H	沙田	2.72		18.5		94.0	35.0		52.0
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	3	2	飛雲騅(B274)	沈拿	麥菲文	131	1082	3	1-3/4	6 5 3	0.56.96	8	-	-	+ 1	CP	沙田	2.72			25.0			50.0	52.0
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	4	5	龍串鳳(B116)	田泰安	告東尼	129	1085	7	2	5 6 4	0.57.00	8.3	-	-	1	B2/TT	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	5	6	快樂旅遊(B374)	史卓豐	沈集成	126	1239	5	2	2 2 5	0.57.03	6.5	-	-	1	TT1	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	6	1	惜多福(A323)	黃俊	苗禮德	123	1223	10	3-1/4	1 1 6	0.57.21	3.7	1st Hot	-	1	B	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	7	8	超然(V255)	韋達	鄭俊偉	121	1072	9	5-1/4	7 8 7	0.57.52	45	-	-	1	B	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	8	10	不忘初心(B231)	巫顯東	徐雨石	111	1057	6	5-1/2	10 10 8	0.57.57	87	-	-	1	 	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	9	7	精算齊同(B102)	何澤堯	呂健威	121	1180	8	7-1/4	9 9 9	0.57.87	40	-	-	1	CP	沙田	2.72							
2018/9/2	1	第四班	1000米	(60-40)	好地	草地 - "B" 賽道	10	9	無價寶(B254)	蘇狄雄	何良	118	1128	4	7-1/2	4 4 10	0.57.89	28	-	-	1	H/TT1	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	1	6	乘勝追擊(V369)	韋達	容天鵬	119	1088	1	-	6 6 5 1	1.34.38	5.1	2nd Hot	-	+ 1	B	沙田	2.72	16.0			64.0	29.0	60.5	
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	2	8	五陵霸(A311)	潘頓	姚本輝	120	1160	4	4	5 5 3 2	1.35.03	2.4	1st Hot	-	+ 1	B/E	沙田	2.72		12.5		64.0	29.0		44.5
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	3	10	大運舞台(T256)	李寶利	葉楚航	118	1086	2	5	3 3 4 3	1.35.21	8.4	-	-	1	V-/B2	沙田	2.72			25.0			60.5	44.5
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	4	7	好運齊來(B124)	巫顯東	沈集成	114	1134	10	5-3/4	1 1 1 4	1.35.30	23	-	-	1	H-/B1/TT1	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	5	2	葵涌老友(A012)	梁家俊	高伯新	121	1165	9	5-3/4	10 10 7 5	1.35.31	21	-	-	1	XB	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	6	3	火天大有(V406)	田泰安	何良	121	1070	3	7	7 7 8 6	1.35.50	14	-	-	1	B-	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	7	1	凱旋星光(T224)	郭能	霍利時	125	1060	5	7-3/4	2 2 2 7	1.35.61	30	-	-	+ 1	TT	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	8	5	日東昇(V302)	麥偉利	苗禮德	120	1151	8	9-1/4	9 8 9 8	1.35.86	20	-	-	1	 	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	9	9	人間尋夢(V258)	利敬國	呂健威	119	1158	6	9-1/2	8 9 10 9	1.35.90	11	-	-	+ 1	 	沙田	2.72							
2018/9/2	2	第五班	1600米	(40-0)	好地	草地 - "B" 賽道	10	4	有衝勁(T220)	楊明綸	方嘉柏	118	980	7	13-1/4	4 4 6 10	1.36.48	6.7	-	-	+ 1	E-/PC-/XB-	沙田	2.72							
2018/9/2	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	1	2	勝得威(A025)	潘頓	告東尼	130	1109	4	-	5 5 1	1.08.27	3.3	1st Hot	-		CP1/TT	沙田	2.72	15.0			133.5	41.5	28.5	
2018/9/2	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	2	3	軍歌(T103)	韋達	呂健威	123	1082	7	頸位	7 6 2	1.08.34	7.7	-	-		B	沙田	2.72		24.5		133.5	41.5		62.5
